ID,LEFT_WRIST_THUMB_CMC_MCP,LEFT_THUMB_CMC_MCP_IP,LEFT_THUMB_MCP_IP_TIP,LEFT_WRIST_INDEX_FINGER_MCP_PIP,LEFT_INDEX_FINGER_MCP_PIP_DIP,LEFT_INDEX_FINGER_PIP_DIP_TIP,LEFT_WRIST_MIDDLE_FINGER_MCP_PIP,LEFT_MIDDLE_FINGER_MCP_PIP_DIP,LEFT_MIDDLE_FINGER_PIP_DIP_TIP,LEFT_WRIST_RING_FINGER_MCP_PIP,LEFT_RING_FINGER_MCP_PIP_DIP,LEFT_RING_FINGER_PIP_DIP_TIP,LEFT_WRIST_PINKY_MCP_PIP,LEFT_PINKY_MCP_PIP_DIP,LEFT_PINKY_PIP_DIP_TIP,RIGHT_WRIST_THUMB_CMC_MCP,RIGHT_THUMB_CMC_MCP_IP,RIGHT_THUMB_MCP_IP_TIP,RIGHT_WRIST_INDEX_FINGER_MCP_PIP,RIGHT_INDEX_FINGER_MCP_PIP_DIP,RIGHT_INDEX_FINGER_PIP_DIP_TIP,RIGHT_WRIST_MIDDLE_FINGER_MCP_PIP,RIGHT_MIDDLE_FINGER_MCP_PIP_DIP,RIGHT_MIDDLE_FINGER_PIP_DIP_TIP,RIGHT_WRIST_RING_FINGER_MCP_PIP,RIGHT_RING_FINGER_MCP_PIP_DIP,RIGHT_RING_FINGER_PIP_DIP_TIP,RIGHT_WRIST_PINKY_MCP_PIP,RIGHT_PINKY_MCP_PIP_DIP,RIGHT_PINKY_PIP_DIP_TIP,R_SHOULDER_L_SHOULDER_L_ELBOW,L_SHOULDER_L_ELBOW_L_WRIST,L_ELBOW_L_WRIST_L_PINKY,L_SHOULDER_R_SHOULDER_R_ELBOW,R_SHOULDER_R_ELBOW_R_WRIST,R_ELBOW_R_WRIST_R_PINKY,LEFT_THUMB_CMC_TIP,LEFT_INDEX_MCP_TIP,LEFT_MIDDLE_MCP_TIP,LEFT_RING_MCP_TIP,LEFT_PINKY_MCP_TIP,LEFT_THUMB_TIP_INDEX_TIP,LEFT_INDEX_TIP_MIDDLE_TIP,LEFT_MIDDLE_TIP_RING_TIP,LEFT_RING_TIP_PINKY_TIP,RIGHT_THUMB_CMC_TIP,RIGHT_INDEX_MCP_TIP,RIGHT_MIDDLE_MCP_TIP,RIGHT_RING_MCP_TIP,RIGHT_PINKY_MCP_TIP,RIGHT_THUMB_TIP_INDEX_TIP,RIGHT_INDEX_TIP_MIDDLE_TIP,RIGHT_MIDDLE_TIP_RING_TIP,RIGHT_RING_TIP_PINKY_TIP,L_SHOULDER_L_WRIST,R_SHOULDER_R_WRIST
harsha_1,163.72,166.5,173.38,176.31,161.06,163.3,176.64,150.09,152.39,167.14,150.98,156.21,170.75,119.79,160.77,165.26,175.31,176.67,168.54,170.63,174.77,175.97,167.69,176.93,122.29,146.93,158.37,111.9,171.58,172.13,106.82,96.71,170.22,93.37,99.98,170.81,0.09002880031761704,0.07994850887234524,0.07158503615564994,0.07078908966493658,0.028672761664052162,0.06514465365519287,0.025897087979535046,0.027708977553292387,0.08527562212679088,0.11180033154077719,0.0864290959698407,0.06468918004622956,0.04247028972953641,0.07614837974436747,0.04562009537607623,0.04231113473801016,0.06872340899340751,0.09791334599661346,0.6140288333760653,0.7037012601461345
harsha_1,162.88,165.58,171.54,175.04,160.38,160.21,176.03,153.25,155.23,167.9,149.11,155.91,177.27,121.72,155.99,167.99,177.51,173.93,167.71,170.5,171.64,170.37,169.31,174.6,123.1,170.33,171.15,116.14,171.75,176.34,105.29,106.84,171.64,95.66,100.74,168.42,0.08943712860707381,0.07677940358002129,0.08216609044034984,0.0699807043513777,0.027741187839004006,0.06278417893234907,0.011292153322728267,0.03927770885440451,0.08195375770716548,0.10127179088065195,0.07819701900709142,0.05650489761105728,0.04026190642643232,0.07378157404774194,0.04702531810718369,0.04266774819366405,0.07590815988471546,0.08205889648083445,0.7244453591755801,0.7341212180546514
harsha_1,162.32,165.9,177.83,173.39,153.18,159.73,171.23,137.0,151.58,165.55,146.16,161.04,126.06,146.46,175.34,170.48,175.99,173.52,168.87,165.74,168.41,175.01,168.96,168.84,128.58,177.82,171.72,119.56,172.83,175.59,104.15,107.46,172.39,96.59,102.74,164.48,0.09761283808076524,0.07043781156509418,0.062168414737359665,0.058206321878199054,0.049382095265203416,0.0567026509404782,0.028927369882489846,0.03776790751388332,0.1166273972952533,0.10456789623591367,0.07669406708514838,0.0559610613421216,0.042102582736827064,0.0644382661792732,0.042446181645444454,0.042391767357459656,0.07278014648551702,0.07306912163507717,0.7441080900746299,0.7556038538519152
harsha_1,160.07,166.53,178.33,168.85,156.64,158.36,162.6,143.16,153.23,171.28,140.18,155.97,125.35,158.42,177.24,169.03,176.55,171.43,176.5,167.42,170.07,177.47,165.41,170.56,130.75,175.01,176.37,129.01,174.91,177.22,104.73,108.96,173.92,96.61,103.96,163.2,0.10213788839311887,0.07290798641772606,0.0764529193606836,0.055281699023835985,0.06960394919000663,0.053806020186559896,0.02237829877178748,0.06626653846430036,0.1268148243367069,0.10409927455343528,0.07449770103829387,0.054258841482153604,0.04874830268069875,0.0744918169033569,0.03910379803064637,0.041940449336347004,0.07537959373851338,0.07476157099764945,0.7707257031720575,0.7818577799151718
harsha_1,156.83,176.25,177.57,175.61,146.34,162.52,170.75,111.39,156.23,165.46,156.72,163.43,134.7,170.47,177.48,177.22,176.17,173.32,175.09,175.81,173.25,161.31,171.92,169.36,124.02,157.08,175.16,136.72,175.29,173.96,104.56,104.66,165.37,98.57,98.69,163.99,0.09515971705621012,0.06184023704032457,0.04306782230916769,0.05202349023845446,0.08408309264891121,0.04170511434169573,0.05050692476006199,0.04239835054450255,0.12495463880884186,0.09949025169671905,0.07112809395600189,0.04295399347619674,0.0491928703429815,0.08380938068044694,0.02363175873635203,0.053386722901916615,0.0621281304660937,0.08050955813742788,0.7325376032722793,0.7375793647475501
harsha_1,166.1,176.74,177.1,173.44,156.14,174.76,170.45,161.2,175.12,152.41,165.1,174.31,143.09,171.68,176.54,178.44,171.96,166.15,170.84,174.68,174.32,154.64,167.77,169.62,143.19,171.85,173.41,155.27,176.43,174.51,103.03,96.76,167.76,101.1,95.6,163.78,0.09377417268624495,0.06645921228362098,0.05182138035563739,0.05150781377374156,0.09299083207483098,0.03498958811460898,0.04461228859454932,0.06551796164903606,0.1078237365951672,0.08963749722398523,0.06142576490755447,0.05305395200616883,0.06812239002694603,0.09568238064800104,0.030258826473286926,0.05065885511245394,0.06945045340820287,0.07698904144833786,0.5903903458653171,0.6878567201418316
harsha_1,171.47,179.46,177.0,170.75,170.33,178.46,170.85,165.68,175.68,161.51,167.44,176.19,162.01,171.25,178.43,168.39,175.38,161.9,174.89,174.47,177.21,168.47,171.24,172.01,157.15,174.78,172.69,164.64,176.07,173.78,106.24,102.65,165.51,99.23,101.26,155.9,0.08317716957994185,0.0723917947640709,0.05557089107449331,0.049788536167541315,0.08149025040714356,0.03910818149545382,0.053958638647865056,0.06966725963539872,0.08680385038678405,0.08401337651156973,0.06069324101828274,0.054476754662003905,0.0688891316021458,0.09501576869531042,0.029591015795552515,0.04599802254667273,0.07278634938100138,0.07747216851102458,0.678092788928257,0.7487312419255128
harsha_1,164.21,174.23,175.16,173.21,173.44,177.59,172.98,164.97,173.54,159.07,170.38,172.53,160.89,171.86,177.06,166.39,176.96,153.55,176.13,165.85,175.93,168.51,169.56,171.18,159.66,171.26,172.57,166.54,176.14,173.99,110.33,106.33,169.97,95.74,103.82,156.93,0.07208044488884141,0.07259022069363327,0.05625995407878407,0.04730162437174385,0.07897464079926642,0.04798088821953197,0.05353995864768754,0.07775644416119994,0.08186006999527734,0.07893420606901282,0.06169496033416629,0.057783266898684175,0.0700655637509929,0.09271455453921516,0.034852220893120844,0.04514958059339015,0.07020490970386097,0.07710299500692472,0.712268325539187,0.779112294283464
harsha_1,160.41,177.04,175.1,174.02,176.54,176.54,172.23,163.52,176.06,163.57,167.93,174.09,163.68,171.12,176.8,167.96,178.35,169.54,173.53,173.44,174.8,170.64,170.02,173.08,165.18,170.45,173.35,165.78,174.96,174.51,111.84,109.83,173.08,97.57,103.74,163.78,0.07292252025926814,0.07387463193395158,0.05898904795198448,0.05273268860014945,0.0811822162087614,0.045881551043460325,0.05534085695134168,0.07677191232168422,0.08013187890285872,0.08021229255042887,0.0640545871708706,0.0580226348546603,0.06531324567032921,0.09236084842530318,0.03369691215475669,0.045198689707027416,0.0674270861934778,0.08196542149478157,0.7395586767224217,0.7814774109264414
harsha_1,149.08,132.16,172.67,167.09,174.18,178.71,164.68,157.2,176.02,160.46,171.97,173.91,152.6,178.18,172.87,168.42,179.49,158.33,172.53,173.96,175.09,169.24,171.11,170.01,155.55,167.08,170.56,159.93,175.0,174.07,113.82,108.76,173.38,98.24,100.78,170.7,0.057299809751193344,0.08210207554357342,0.06322299416062845,0.05069312512207595,0.06478044102856091,0.12506670074105639,0.046123703603006515,0.07445414540072529,0.07478157554797975,0.08753540551697415,0.07029970261442094,0.05941095730249091,0.06579544344166338,0.08917745044623844,0.03635369888164816,0.04424288739117439,0.07467288306122055,0.07612119814217815,0.7195998905888426,0.7402959690860189
