# f1,f2,f3,f4,f5,f6,f7,f8,sign
-1.330226063728332520e+00,5.524349689483642578e+00,9.229360818862915039e-01,-1.022666692733764648e+00,-5.744070410728454590e-01,-9.795446991920471191e-01,-1.171645045280456543e+00,-9.107928872108459473e-01,1.000000000000000000e+00
2.124230861663818359e-01,-6.253747940063476562e-01,-2.825140357017517090e-01,-1.771137356758117676e+00,5.563647747039794922e+00,-2.434434890747070312e+00,-1.311560273170471191e+00,-1.703396201133728027e+00,4.000000000000000000e+00
-7.535848617553710938e-01,-1.036489605903625488e+00,-2.980146706104278564e-01,-7.920175790786743164e-01,-1.138672828674316406e+00,-4.232544302940368652e-01,-4.817399382591247559e-01,5.329356670379638672e+00,7.000000000000000000e+00
-6.313294768333435059e-01,-6.431824564933776855e-01,-1.595400929450988770e+00,8.330511450767517090e-01,-1.103951573371887207e+00,4.871910572052001953e+00,-8.290834426879882812e-01,-1.013686060905456543e+00,5.000000000000000000e+00
-1.430915236473083496e+00,5.487331867218017578e+00,9.541118144989013672e-01,-1.072469592094421387e+00,-5.001431703567504883e-01,-9.608640074729919434e-01,-9.607816338539123535e-01,-1.088333487510681152e+00,1.000000000000000000e+00
-7.594306468963623047e-01,-8.178877830505371094e-01,-7.450002431869506836e-01,-1.215128779411315918e+00,-9.023644924163818359e-01,-6.088028550148010254e-01,-3.795253634452819824e-01,6.037147045135498047e+00,7.000000000000000000e+00
4.513623714447021484e+00,-1.458063602447509766e+00,-1.334158062934875488e+00,-6.212738156318664551e-01,-4.628492891788482666e-01,-5.978267788887023926e-01,-1.044938921928405762e+00,-2.069759607315063477e+00,0.000000000000000000e+00
5.351566672325134277e-01,-1.688990235328674316e+00,-1.263460516929626465e+00,5.390858173370361328e+00,-1.796103477478027344e+00,4.030641317367553711e-01,-1.673865199089050293e+00,-1.107306838035583496e+00,3.000000000000000000e+00
-3.502635955810546875e-01,-6.878175735473632812e-01,-1.752599120140075684e+00,6.486502885818481445e-01,-1.069915413856506348e+00,5.037071228027343750e+00,-1.073076367378234863e+00,-8.967821002006530762e-01,5.000000000000000000e+00
1.604247093200683594e+00,-4.331240653991699219e-01,-7.676608115434646606e-02,-1.882289171218872070e+00,3.702887535095214844e+00,-2.291766166687011719e+00,-1.644509077072143555e+00,-2.368371248245239258e+00,4.000000000000000000e+00
-9.328411817550659180e-01,4.802615344524383545e-01,5.077975273132324219e+00,-9.832841157913208008e-01,-5.810130834579467773e-01,-2.091683626174926758e+00,-1.240543961524963379e+00,-1.464162707328796387e+00,2.000000000000000000e+00
-5.657953023910522461e-01,-7.613553404808044434e-01,-1.086121439933776855e+00,-1.252918958663940430e+00,-6.409546136856079102e-01,-9.645081162452697754e-01,5.929763317108154297e+00,-6.835479140281677246e-01,6.000000000000000000e+00
-9.685438871383666992e-01,4.729155898094177246e-01,5.494636058807373047e+00,-1.062886953353881836e+00,-6.387123465538024902e-01,-2.350567102432250977e+00,-9.016147851943969727e-01,-1.571178078651428223e+00,2.000000000000000000e+00
3.701788663864135742e+00,-1.478371500968933105e+00,-1.299957156181335449e+00,-7.789702415466308594e-01,4.138984158635139465e-02,-7.074568867683410645e-01,-5.158837437629699707e-01,-1.732531666755676270e+00,0.000000000000000000e+00
-5.505573153495788574e-01,-8.506749272346496582e-01,-1.024186968803405762e+00,-1.559495210647583008e+00,-6.307199001312255859e-01,-1.386918663978576660e+00,6.325734615325927734e+00,-7.389469742774963379e-01,6.000000000000000000e+00
3.434570550918579102e+00,-1.838882446289062500e+00,-4.706175625324249268e-01,-9.091012477874755859e-01,2.644601762294769287e-01,-1.442825794219970703e+00,-1.807934045791625977e-01,-1.849694371223449707e+00,0.000000000000000000e+00
-8.657065629959106445e-01,4.848583638668060303e-01,5.089085578918457031e+00,-8.407454490661621094e-01,-6.460642814636230469e-01,-2.025820493698120117e+00,-1.085498094558715820e+00,-1.470679521560668945e+00,2.000000000000000000e+00
