# f1,f2,f3,f4,f5,f6,f7,f8,sign
-6.195590645074844360e-02,-5.587215423583984375e-01,-2.670332789421081543e-01,-1.748358607292175293e+00,5.599618911743164062e+00,-2.353332042694091797e+00,-1.188220858573913574e+00,-1.707380414009094238e+00,4.000000000000000000e+00
4.969410598278045654e-01,-1.611187934875488281e+00,-1.201519131660461426e+00,5.398843288421630859e+00,-1.838861107826232910e+00,4.379598498344421387e-01,-1.574607133865356445e+00,-1.211043834686279297e+00,3.000000000000000000e+00
-1.459889650344848633e+00,5.534996986389160156e+00,9.813081026077270508e-01,-1.159739971160888672e+00,-4.942214488983154297e-01,-9.724974036216735840e-01,-9.194679260253906250e-01,-1.041332244873046875e+00,1.000000000000000000e+00
-1.597313880920410156e-01,-9.827128648757934570e-01,-5.564442873001098633e-01,-1.551827788352966309e+00,-8.028302788734436035e-01,-1.571782350540161133e+00,6.577417850494384766e+00,-8.113707900047302246e-01,6.000000000000000000e+00
-5.864230990409851074e-01,-7.623867988586425781e-01,-1.063151836395263672e+00,-1.338235020637512207e+00,-6.465079784393310547e-01,-1.040581345558166504e+00,6.007376670837402344e+00,-7.408291697502136230e-01,6.000000000000000000e+00
3.434570550918579102e+00,-1.838882446289062500e+00,-4.706175625324249268e-01,-9.091012477874755859e-01,2.644601762294769287e-01,-1.442825794219970703e+00,-1.807934045791625977e-01,-1.849694371223449707e+00,0.000000000000000000e+00
-8.578446507453918457e-01,-9.450280666351318359e-01,-7.479537725448608398e-01,-1.239279508590698242e+00,-9.408813714981079102e-01,-4.766819477081298828e-01,-2.618967294692993164e-01,6.120863437652587891e+00,7.000000000000000000e+00
4.291132986545562744e-01,-1.029824852943420410e+00,-7.634940147399902344e-01,4.112098217010498047e+00,-1.171056866645812988e+00,5.037865042686462402e-01,-8.724458813667297363e-01,-1.312936067581176758e+00,3.000000000000000000e+00
2.977690100669860840e-01,-1.216208219528198242e+00,-8.152281641960144043e-01,4.657174587249755859e+00,-1.632060647010803223e+00,9.938333928585052490e-02,-1.184656143188476562e+00,-1.030066013336181641e+00,3.000000000000000000e+00
-1.280577421188354492e+00,5.481093406677246094e+00,9.643566608428955078e-01,-9.751775264739990234e-01,-5.738589763641357422e-01,-9.805533289909362793e-01,-1.250834941864013672e+00,-8.690527081489562988e-01,1.000000000000000000e+00
-1.032143115997314453e+00,5.419012904167175293e-01,5.282669544219970703e+00,-1.168608784675598145e+00,-5.460035800933837891e-01,-2.330323219299316406e+00,-1.008899807929992676e+00,-1.602779746055603027e+00,2.000000000000000000e+00
