output,sign,hit_count,x,y
0,[4.0],1,1.0,1.0
5,"[4.0, 4.0, 4.0]",3,1.0,2.0
15,[5.0],1,0.0,4.0
17,"[2.0, 2.0]",2,0.0,-1.0
19,[5.0],1,-1.0,4.0
24,"[5.0, 5.0, 5.0]",3,1.0,5.0
26,[5.0],1,-2.0,4.0
28,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",15,-1.0,-2.0
32,[2.0],1,2.0,-1.0
33,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",8,3.0,2.0
36,"[5.0, 5.0, 5.0, 5.0, 5.0]",5,0.0,5.0
39,"[5.0, 5.0]",2,1.0,6.0
41,"[4.0, 4.0, 4.0, 4.0]",4,4.0,4.0
43,"[4.0, 4.0, 4.0]",3,3.0,3.0
46,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",6,-1.0,-3.0
52,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",7,-1.0,-4.0
57,[5.0],1,-2.0,5.0
69,"[5.0, 5.0]",2,3.0,8.0
71,"[2.0, 2.0]",2,-2.0,0.0
72,"[4.0, 4.0, 4.0, 4.0]",4,4.0,3.0
73,"[5.0, 5.0]",2,-1.0,6.0
75,[5.0],1,-2.0,6.0
78,[0.0],1,4.0,8.0
79,"[5.0, 5.0]",2,0.0,6.0
80,[5.0],1,1.0,7.0
82,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",13,2.0,-4.0
85,[4.0],1,5.0,3.0
89,[3.0],1,-5.0,5.0
90,[3.0],1,-4.0,6.0
94,"[7.0, 7.0]",2,3.0,-1.0
95,"[5.0, 5.0, 5.0, 5.0, 5.0]",5,2.0,8.0
97,[5.0],1,-1.0,7.0
100,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",6,-5.0,4.0
103,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",7,5.0,4.0
104,[5.0],1,5.0,8.0
106,"[4.0, 4.0]",2,6.0,5.0
108,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",8,-5.0,6.0
112,"[4.0, 4.0]",2,6.0,4.0
113,"[3.0, 5.0, 3.0, 3.0, 3.0]",5,-3.0,0.0
117,"[3.0, 3.0, 3.0]",3,-6.0,4.0
118,"[3.0, 3.0, 3.0]",3,-5.0,3.0
119,"[2.0, 2.0, 2.0, 2.0, 2.0]",5,-1.0,-5.0
120,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,5.0,0.0
121,"[7.0, 7.0, 7.0]",3,4.0,-1.0
123,[1.0],1,1.0,-5.0
124,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",44,-4.0,-3.0
125,"[6.0, 6.0, 6.0]",3,-3.0,-2.0
128,"[5.0, 5.0, 5.0, 5.0]",4,1.0,8.0
130,[3.0],1,-6.0,3.0
134,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",13,3.0,-4.0
136,"[3.0, 3.0]",2,-6.0,2.0
138,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",12,-2.0,-5.0
139,"[5.0, 3.0, 3.0, 3.0]",4,-4.0,0.0
141,[5.0],1,2.0,9.0
143,"[3.0, 3.0]",2,-7.0,2.0
146,"[7.0, 7.0, 7.0, 7.0]",4,8.0,2.0
147,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",9,7.0,1.0
152,"[3.0, 3.0]",2,-7.0,1.0
153,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,9.0,3.0
154,"[4.0, 4.0]",2,6.0,8.0
156,[1.0],1,4.0,-4.0
157,"[1.0, 1.0, 1.0, 1.0, 1.0]",5,3.0,-5.0
164,"[6.0, 7.0, 7.0]",3,8.0,1.0
165,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,7.0,0.0
168,"[4.0, 4.0, 4.0, 4.0]",4,7.0,6.0
169,[0.0],1,-8.0,5.0
172,"[1.0, 1.0, 1.0, 1.0]",4,5.0,-4.0
174,"[0.0, 0.0, 0.0, 0.0]",4,-10.0,3.0
175,"[0.0, 0.0]",2,-9.0,4.0
176,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,10.0,4.0
177,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,10.0,5.0
180,[7.0],1,9.0,2.0
184,"[3.0, 3.0, 3.0, 5.0]",4,-5.0,2.0
185,[3.0],1,-4.0,1.0
186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7,-9.0,5.0
187,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11,-8.0,6.0
188,"[4.0, 4.0, 4.0]",3,8.0,7.0
