output,sign,hit_count,x,y
1,"[0.0, 0.0]",2,1.0,0.0
5,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",12,1.0,2.0
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9,1.0,3.0
13,"[4.0, 4.0]",2,1.0,4.0
16,[2.0],1,-2.0,3.0
18,[0.0],1,-1.0,2.0
22,[2.0],1,-2.0,4.0
23,"[4.0, 4.0, 4.0]",3,3.0,1.0
26,[0.0],1,-3.0,2.0
32,[3.0],1,-4.0,2.0
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17,3.0,2.0
34,[0.0],1,3.0,4.0
37,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",17,-5.0,2.0
43,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",31,-6.0,2.0
44,"[3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0]",15,-5.0,1.0
45,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",20,4.0,2.0
46,"[4.0, 4.0, 4.0, 4.0]",4,3.0,3.0
47,"[4.0, 4.0, 4.0, 4.0, 4.0]",5,3.0,0.0
49,"[2.0, 2.0, 2.0, 2.0, 2.0]",5,-1.0,5.0
51,"[0.0, 0.0, 0.0, 0.0, 0.0]",5,1.0,-2.0
54,"[0.0, 0.0, 0.0, 0.0]",4,4.0,0.0
60,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",38,-5.0,5.0
61,"[6.0, 6.0]",2,-4.0,5.0
62,"[4.0, 4.0, 4.0]",3,5.0,0.0
63,[4.0],1,4.0,1.0
65,"[5.0, 5.0]",2,4.0,6.0
66,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",27,3.0,7.0
67,"[2.0, 2.0]",2,-2.0,5.0
68,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",10,-1.0,6.0
70,[5.0],1,4.0,5.0
74,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",12,-4.0,6.0
76,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",6,0.0,7.0
77,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",20,4.0,7.0
79,"[2.0, 2.0, 2.0, 2.0, 2.0]",5,-2.0,6.0
81,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",9,1.0,-3.0
83,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7,4.0,3.0
86,"[7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",12,-2.0,-1.0
87,"[7.0, 7.0, 7.0, 7.0, 7.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 5.0, 7.0, 7.0, 5.0, 7.0, 7.0, 5.0, 7.0, 7.0]",28,-1.0,-2.0
88,"[3.0, 5.0, 3.0, 3.0, 3.0]",5,-8.0,3.0
90,[3.0],1,-7.0,2.0
92,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",28,-5.0,6.0
93,"[7.0, 7.0]",2,-3.0,0.0
94,"[5.0, 5.0, 5.0, 5.0]",4,5.0,7.0
95,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",8,4.0,8.0
97,"[0.0, 0.0, 0.0]",3,5.0,2.0
100,"[7.0, 7.0, 7.0, 7.0, 7.0]",5,-2.0,-2.0
