output,user_id,hit_count,x,y
8,[3.0],1,3.0,1.0
11,[9.0],1,2.0,-1.0
14,[2.0],1,4.0,1.0
17,"[6.0, 6.0]",2,1.0,-2.0
18,"[0.0, 0.0, 0.0]",3,2.0,3.0
22,"[4.0, 4.0, 4.0, 4.0, 4.0]",5,3.0,3.0
23,[6.0],1,-1.0,1.0
26,"[9.0, 9.0]",2,-1.0,-1.0
27,[9.0],1,0.0,-2.0
28,"[1.0, 1.0, 1.0]",3,2.0,-2.0
29,"[1.0, 9.0]",2,1.0,-3.0
33,[6.0],1,2.0,4.0
34,"[7.0, 3.0, 7.0, 3.0, 3.0, 3.0]",6,4.0,3.0
35,"[7.0, 6.0, 0.0, 7.0, 0.0, 7.0]",6,3.0,4.0
41,"[2.0, 2.0, 2.0]",3,4.0,4.0
44,"[5.0, 8.0, 5.0, 5.0, 5.0, 5.0]",6,3.0,-2.0
45,"[8.0, 8.0]",2,6.0,2.0
46,[2.0],1,5.0,3.0
50,"[1.0, 8.0, 8.0]",3,6.0,3.0
