output,user_id,hit_count,x,y
2,[8.0],1,0.0,1.0
10,[9.0],1,3.0,2.0
16,"[1.0, 0.0]",2,-1.0,1.0
20,"[4.0, 4.0]",2,4.0,2.0
23,"[3.0, 9.0, 3.0, 3.0]",4,-2.0,1.0
25,"[2.0, 2.0, 4.0]",3,3.0,3.0
26,"[7.0, 3.0, 6.0]",3,-3.0,-1.0
28,[6.0],1,-1.0,-2.0
29,[2.0],1,2.0,-1.0
30,[8.0],1,1.0,-2.0
32,[6.0],1,-3.0,1.0
33,"[7.0, 8.0]",2,-4.0,1.0
37,"[6.0, 5.0, 8.0]",3,-3.0,-2.0
39,"[3.0, 7.0, 1.0]",3,4.0,3.0
42,[7.0],1,-3.0,3.0
43,[7.0],1,-5.0,1.0
46,"[4.0, 1.0]",2,3.0,-1.0
47,"[0.0, 2.0, 5.0, 3.0]",4,-5.0,-1.0
48,"[7.0, 9.0, 7.0]",3,-4.0,-2.0
50,[1.0],1,-4.0,3.0
